timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-03-17,35611.87209000,39125.28750000,34851.24817500,37621.46016000,5028.86000000,5525.00000000,4921.45000000,5312.64000000,150089.92631800,150089.92631800
2020-03-16,37959.17689500,37995.22173000,31456.87278000,35612.65105500,5360.33000000,5365.42000000,4442.12000000,5028.97000000,227276.92276000,227276.92276000
2020-03-15,36628.91712000,42064.11000000,36066.78765000,37966.04595000,5172.48000000,5940.00000000,5093.10000000,5361.30000000,139916.14653400,139916.14653400
2020-03-14,39486.79807500,39943.34238000,35797.90309500,36625.94289000,5576.05000000,5640.52000000,5055.13000000,5172.06000000,136910.13597400,136910.13597400
2020-03-13,33991.27081500,42170.33250000,26783.15359500,39504.85590000,4800.01000000,5955.00000000,3782.13000000,5578.60000000,402201.67376400,402201.67376400
2020-03-12,56188.72827000,56412.43285500,31229.41500000,33991.20000000,7934.58000000,7966.17000000,4410.00000000,4800.00000000,261505.60865300,261505.60865300
2020-03-11,55905.39745500,56510.37000000,53748.58500000,56188.30338000,7894.57000000,7980.00000000,7590.00000000,7934.52000000,79942.41117200,79942.41117200
2020-03-10,56155.37440500,57707.14350000,54725.90281500,55905.32664000,7929.87000000,8149.00000000,7728.01000000,7894.56000000,86783.44387500,86783.44387500
2020-03-09,56898.15294000,57921.78376500,54046.07881500,56155.37440500,8034.76000000,8179.31000000,7632.01000000,7929.87000000,116968.86326800,116968.86326800
2020-03-08,62920.89787500,62931.59094000,56652.00000000,56887.88476500,8885.25000000,8886.76000000,8000.00000000,8033.31000000,77537.31516600,77537.31516600
2020-03-07,64660.39753500,65064.82200000,62565.05250000,62930.88279000,9130.89000000,9188.00000000,8835.00000000,8886.66000000,45422.20452500,45422.20452500
2020-03-06,64120.43316000,64937.35500000,63630.81825000,64667.40822000,9054.64000000,9170.00000000,8985.50000000,9131.88000000,43782.94804400,43782.94804400
2020-03-05,61970.13568500,64862.43273000,61938.62301000,64120.71642000,8750.99000000,9159.42000000,8746.54000000,9054.68000000,58201.86635500,58201.86635500
2020-03-04,62034.43570500,62659.16563500,61325.79000000,61969.28590500,8760.07000000,8848.29000000,8660.00000000,8750.87000000,38696.48257800,38696.48257800
2020-03-03,63104.52117000,63164.50147500,61262.05650000,62034.43570500,8911.18000000,8919.65000000,8651.00000000,8760.07000000,55154.99728200,55154.99728200
2020-03-02,60407.31945000,63490.95862500,60178.58700000,63133.27206000,8530.30000000,8965.75000000,8498.00000000,8915.24000000,60401.31773000,60401.31773000
2020-03-01,60359.94421500,61963.12500000,59562.49650000,60418.50822000,8523.61000000,8750.00000000,8411.00000000,8531.88000000,43892.20177900,43892.20177900
2020-02-29,61543.90020000,62246.38500000,60359.51932500,60359.94421500,8690.80000000,8790.00000000,8523.55000000,8523.61000000,36748.18303500,36748.18303500
2020-02-28,62481.84487500,63025.35000000,59803.26750000,61558.84216500,8823.25000000,8900.00000000,8445.00000000,8692.91000000,71155.20897700,71155.20897700
2020-02-27,62218.05900000,63533.58925500,60412.27650000,62481.56161500,8786.00000000,8971.77000000,8531.00000000,8823.21000000,72483.57876200,72483.57876200
2020-02-26,65974.65312000,66406.34136000,61139.05084500,62212.74787500,9316.48000000,9377.44000000,8633.63000000,8785.25000000,92130.34548200,92130.34548200
2020-02-25,68375.56488000,68513.51250000,65503.87500000,65970.12096000,9655.52000000,9675.00000000,9250.00000000,9315.84000000,54379.34455200,54379.34455200
2020-02-24,70364.61660000,70744.18500000,67087.01514000,68379.88459500,9936.40000000,9990.00000000,9473.56000000,9656.13000000,55796.59612000,55796.59612000
2020-02-23,68342.49427500,70744.18500000,68301.06750000,70364.61660000,9650.85000000,9990.00000000,9645.00000000,9936.40000000,37702.08984300,37702.08984300
2020-02-22,68528.02957500,68755.48735500,67699.28163000,68342.56509000,9677.05000000,9709.17000000,9560.02000000,9650.86000000,24636.75762300,24636.75762300
2020-02-21,67962.64261500,69083.64406500,67629.81211500,68528.02957500,9597.21000000,9755.51000000,9550.21000000,9677.05000000,42181.55452400,42181.55452400
2020-02-20,67944.51397500,68683.46850000,66566.10000000,67957.04823000,9594.65000000,9699.00000000,9400.00000000,9596.42000000,60152.34291400,60152.34291400
2020-02-19,71981.88957000,72585.37500000,66212.02500000,67938.42388500,10164.78000000,10250.00000000,9350.00000000,9593.79000000,55162.58689500,55162.58689500
2020-02-18,68733.03900000,72585.37500000,67812.51481500,71981.39386500,9706.00000000,10250.00000000,9576.01000000,10164.71000000,70604.12401900,70604.12401900
2020-02-17,70182.62205000,70561.19904000,66939.08260500,68733.03900000,9910.70000000,9964.16000000,9452.67000000,9706.00000000,70261.01190100,70261.01190100
2020-02-16,70138.43349000,71169.07500000,68252.34678000,70229.14750500,9904.46000000,10050.00000000,9638.12000000,9917.27000000,60023.99953700,60023.99953700
2020-02-15,73253.58534000,73470.56250000,69405.78150000,70140.27468000,10344.36000000,10375.00000000,9801.00000000,9904.72000000,57657.20294700,57657.20294700
2020-02-14,72428.02407000,73517.01714000,71603.66665500,73253.58534000,10227.78000000,10381.56000000,10111.37000000,10344.36000000,47038.48017300,47038.48017300
2020-02-13,73118.82439500,74355.75000000,71381.52000000,72441.12484500,10325.33000000,10500.00000000,10080.00000000,10229.63000000,79344.35875900,79344.35875900
2020-02-12,72394.74102000,74001.67500000,72394.74102000,73126.82649000,10223.08000000,10450.00000000,10223.08000000,10326.46000000,61008.06393000,61008.06393000
2020-02-11,69765.09681000,73106.50258500,68690.55000000,72394.74102000,9851.74000000,10323.59000000,9700.00000000,10223.08000000,62422.39522400,62422.39522400
2020-02-10,71889.40518000,72146.32200000,69087.11400000,69765.73414500,10151.72000000,10188.00000000,9756.00000000,9851.83000000,59573.08461900,59573.08461900
2020-02-09,70071.72576000,71990.52900000,69970.53112500,71889.61762500,9895.04000000,10166.00000000,9880.75000000,10151.75000000,43408.47561600,43408.47561600
2020-02-08,69496.92040500,70390.11000000,68457.63946500,70071.79657500,9813.87000000,9940.00000000,9667.11000000,9895.05000000,43600.84366600,43600.84366600
