date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
09/01/2020,8054.72,8054.72,8055.96,8055.96,7750,7750,7817.76,7817.76,64239.51983,64239.51983
08/01/2020,8145.92,8145.92,8455,8455,7870,7870,8055.98,8055.98,112622.6426,112622.6426
07/01/2020,7758.9,7758.9,8207.68,8207.68,7723.71,7723.71,8145.28,8145.28,91171.68466,91171.68466
06/01/2020,7357.64,7357.64,7795.34,7795.34,7346.76,7346.76,7758,7758,54635.69532,54635.69532
05/01/2020,7354.19,7354.19,7495,7495,7318,7318,7358.75,7358.75,38331.0856,38331.0856
04/01/2020,7345,7345,7404,7404,7272.21,7272.21,7354.11,7354.11,29987.97498,29987.97498
03/01/2020,6965.49,6965.49,7405,7405,6871.04,6871.04,7344.96,7344.96,68428.50045,68428.50045
02/01/2020,7200.77,7200.77,7212.5,7212.5,6924.74,6924.74,6965.71,6965.71,31951.48393,31951.48393
01/01/2020,7195.24,7195.24,7255,7255,7175.15,7175.15,7200.85,7200.85,16792.38817,16792.38817
31/12/2019,7246,7246,7320,7320,7145.01,7145.01,7195.23,7195.23,25954.45353,25954.45353
30/12/2019,7388.43,7388.43,7408.24,7408.24,7220,7220,7246,7246,29605.91178,29605.91178
29/12/2019,7315.36,7315.36,7528.45,7528.45,7288,7288,7388.24,7388.24,31387.10609,31387.10609
28/12/2019,7254.77,7254.77,7365.01,7365.01,7238.67,7238.67,7316.14,7316.14,26848.9822,26848.9822
27/12/2019,7202,7202,7275.86,7275.86,7076.42,7076.42,7254.74,7254.74,33642.70186,33642.70186
26/12/2019,7205.01,7205.01,7435,7435,7157.12,7157.12,7202,7202,36259.76108,36259.76108
25/12/2019,7255.77,7255.77,7271.77,7271.77,7128.86,7128.86,7204.63,7204.63,27492.04432,27492.04432
24/12/2019,7317.3,7317.3,7436.68,7436.68,7157.04,7157.04,7255.77,7255.77,43629.49419,43629.49419
23/12/2019,7500.71,7500.71,7695.38,7695.38,7265.84,7265.84,7317.09,7317.09,68051.9972,68051.9972
22/12/2019,7131.59,7131.59,7518.54,7518.54,7122.47,7122.47,7501.44,7501.44,39137.45515,39137.45515
21/12/2019,7188.01,7188.01,7190.58,7190.58,7105,7105,7132.75,7132.75,19467.17403,19467.17403
20/12/2019,7151.31,7151.31,7220,7220,7079.5,7079.5,7187.83,7187.83,32132.06921,32132.06921
19/12/2019,7277.83,7277.83,7380,7380,7038.31,7038.31,7150.3,7150.3,55509.04908,55509.04908
18/12/2019,6623.84,6623.84,7440,7440,6435,6435,7277.83,7277.83,95636.65125,95636.65125
17/12/2019,6891.44,6891.44,6942.21,6942.21,6560,6560,6623.82,6623.82,53865.06993,53865.06993
16/12/2019,7119.6,7119.6,7150,7150,6836,6836,6891.72,6891.72,43863.99306,43863.99306
15/12/2019,7064.14,7064.14,7200.3,7200.3,7008.35,7008.35,7118.59,7118.59,26395.77814,26395.77814
14/12/2019,7257.37,7257.37,7271.77,7271.77,7012,7012,7064.05,7064.05,29561.98597,29561.98597
13/12/2019,7197.76,7197.76,7309.05,7309.05,7190.76,7190.76,7258.48,7258.48,27609.8738,27609.8738
12/12/2019,7210,7210,7295,7295,7080.3,7080.3,7198.08,7198.08,42288.60093,42288.60093
11/12/2019,7224.15,7224.15,7275.5,7275.5,7125.66,7125.66,7210,7210,30093.09194,30093.09194
10/12/2019,7338.64,7338.64,7407.6,7407.6,7157.1,7157.1,7224.13,7224.13,49723.76214,49723.76214
09/12/2019,7510.11,7510.11,7650,7650,7273,7273,7338.64,7338.64,46621.88749,46621.88749
08/12/2019,7487.31,7487.31,7564,7564,7374.86,7374.86,7510.11,7510.11,29856.89763,29856.89763
07/12/2019,7527.8,7527.8,7619.62,7619.62,7470.16,7470.16,7488.21,7488.21,31498.68417,31498.68417
06/12/2019,7389,7389,7590.03,7590.03,7305,7305,7527.47,7527.47,48189.08794,48189.08794
05/12/2019,7194.59,7194.59,7485,7485,7150,7150,7389,7389,59306.67886,59306.67886
04/12/2019,7292.71,7292.71,7750,7750,7067,7067,7194.32,7194.32,83147.14914,83147.14914
03/12/2019,7294.42,7294.42,7400,7400,7241.35,7241.35,7292.71,7292.71,33149.47749,33149.47749
02/12/2019,7391.5,7391.5,7420.56,7420.56,7151.1,7151.1,7294.28,7294.28,46330.25604,46330.25604
01/12/2019,7540.63,7540.63,7541.85,7541.85,7210,7210,7390.89,7390.89,60769.34231,60769.34231
30/11/2019,7740.99,7740.99,7810,7810,7441,7441,7541.89,7541.89,46989.43362,46989.43362
29/11/2019,7418.52,7418.52,7850,7850,7362.3,7362.3,7739.68,7739.68,60745.30087,60745.30087
28/11/2019,7507.9,7507.9,7643,7643,7360,7360,7419.49,7419.49,56933.98111,56933.98111
27/11/2019,7154.75,7154.75,7655,7655,6840,6840,7508.52,7508.52,92452.87349,92452.87349
26/11/2019,7109.99,7109.99,7340,7340,7017.48,7017.48,7156.14,7156.14,65722.39769,65722.39769
25/11/2019,6900.23,6900.23,7377.69,7377.69,6515,6515,7109.57,7109.57,119645.7352,119645.7352
24/11/2019,7311.1,7311.1,7330.39,7330.39,6861,6861,6903.28,6903.28,67890.20648,67890.20648
23/11/2019,7268.23,7268.23,7344.48,7344.48,7080.01,7080.01,7311.57,7311.57,50449.89476,50449.89476
22/11/2019,7627.79,7627.79,7750,7750,6790,6790,7268.23,7268.23,126603.1403,126603.1403
21/11/2019,8098.56,8098.56,8134.73,8134.73,7500,7500,7627.74,7627.74,58418.78026,58418.78026
20/11/2019,8133.83,8133.83,8264.29,8264.29,8038.4,8038.4,8098.01,8098.01,32466.23098,32466.23098
19/11/2019,8186.5,8186.5,8218.63,8218.63,8003,8003,8133.64,8133.64,43556.06103,43556.06103
18/11/2019,8502.87,8502.87,8503.52,8503.52,8060,8060,8187.17,8187.17,43017.69094,43017.69094
17/11/2019,8490.74,8490.74,8635,8635,8350.68,8350.68,8502.4,8502.4,27009.03708,27009.03708
16/11/2019,8471.62,8471.62,8543,8543,8400,8400,8491.02,8491.02,20902.29975,20902.29975
15/11/2019,8646.38,8646.38,8790,8790,8400,8400,8471.73,8471.73,46087.41775,46087.41775
14/11/2019,8777.54,8777.54,8800,8800,8582.6,8582.6,8646.68,8646.68,33468.46896,33468.46896
13/11/2019,8821.91,8821.91,8844.99,8844.99,8702,8702,8777.12,8777.12,26810.11692,26810.11692
12/11/2019,8733.36,8733.36,8888,8888,8567.6,8567.6,8821.94,8821.94,40366.62947,40366.62947
11/11/2019,9040.16,9040.16,9072.32,9072.32,8618.68,8618.68,8733.27,8733.27,44888.05355,44888.05355
10/11/2019,8809.18,8809.18,9147.19,9147.19,8750,8750,9039.47,9039.47,34422.0298,34422.0298
09/11/2019,8773.74,8773.74,8880,8880,8724.88,8724.88,8809.41,8809.41,29469.48141,29469.48141
08/11/2019,9214,9214,9261,9261,8696,8696,8773.73,8773.73,62107.28924,62107.28924
07/11/2019,9339.16,9339.16,9375,9375,9101,9101,9216.2,9216.2,39117.47085,39117.47085
06/11/2019,9307.73,9307.73,9440.91,9440.91,9250.01,9250.01,9339.05,9339.05,37336.17037,37336.17037
05/11/2019,9392.4,9392.4,9454.95,9454.95,9175.76,9175.76,9308.66,9308.66,45935.87367,45935.87367
04/11/2019,9196.46,9196.46,9513.68,9513.68,9115.84,9115.84,9393.35,9393.35,45894.45628,45894.45628
03/11/2019,9289.85,9289.85,9362.57,9362.57,9066.14,9066.14,9194.71,9194.71,27894.37828,27894.37828
02/11/2019,9231.4,9231.4,9373.74,9373.74,9186.21,9186.21,9289.52,9289.52,28923.06083,28923.06083
01/11/2019,9140.86,9140.86,9279,9279,9030,9030,9231.61,9231.61,43594.81412,43594.81412
31/10/2019,9154.02,9154.02,9405,9405,8913,8913,9140.85,9140.85,54376.0249,54376.0249
30/10/2019,9407.62,9407.62,9409.84,9409.84,9001.01,9001.01,9154.72,9154.72,55241.78643,55241.78643
29/10/2019,9204.45,9204.45,9550,9550,9072,9072,9407.62,9407.62,64158.46245,64158.46245
28/10/2019,9528.23,9528.23,9902.1,9902.1,9160,9160,9205.14,9205.14,80174.21732,80174.21732
27/10/2019,9230,9230,9794.98,9794.98,9074.34,9074.34,9529.93,9529.93,93833.5416,93833.5416
26/10/2019,8655.88,8655.88,10370,10370,8470.38,8470.38,9230,9230,162588.5854,162588.5854
25/10/2019,7412.41,7412.41,8799,8799,7361,7361,8655.02,8655.02,90748.21817,90748.21817
24/10/2019,7468.47,7468.47,7503.68,7503.68,7337.99,7337.99,7412.41,7412.41,32714.38327,32714.38327
