date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
07/04/2020,171.32,171.32,176.22,176.22,162.22,162.22,164.63,164.63,1717962.825,1717962.825
06/04/2020,142.69,142.69,172,172,142.6,142.6,171.32,171.32,1636338.731,1636338.731
05/04/2020,144.1,144.1,145.58,145.58,140.68,140.68,142.68,142.68,414987.4525,414987.4525
04/04/2020,141.3,141.3,146.28,146.28,138.88,138.88,144.1,144.1,573508.1409,573508.1409
03/04/2020,141.27,141.27,146.72,146.72,137.26,137.26,141.31,141.31,797546.1145,797546.1145
02/04/2020,135.65,135.65,149.76,149.76,135.01,135.01,141.28,141.28,1138977.661,1138977.661
01/04/2020,132.72,132.72,136.99,136.99,128.62,128.62,135.69,135.69,680922.2475,680922.2475
31/03/2020,132.09,132.09,135,135,130.38,130.38,132.72,132.72,547669.2779,547669.2779
30/03/2020,124.47,124.47,135.42,135.42,124.06,124.06,132.06,132.06,764831.9275,764831.9275
29/03/2020,130.94,130.94,131.84,131.84,123.81,123.81,124.5,124.5,543997,543997
28/03/2020,131.33,131.33,132.97,132.97,124.88,124.88,130.98,130.98,896032.1059,896032.1059
27/03/2020,138.4,138.4,141.27,141.27,129.68,129.68,131.33,131.33,706948.5456,706948.5456
26/03/2020,136.11,136.11,139.74,139.74,133.26,133.26,138.4,138.4,751060.631,751060.631
25/03/2020,138.42,138.42,142.33,142.33,132.54,132.54,136.1,136.1,1034248.744,1034248.744
24/03/2020,135.89,135.89,143.36,143.36,132.2,132.2,138.42,138.42,1244377.163,1244377.163
23/03/2020,122.31,122.31,137.5,137.5,119.5,119.5,135.92,135.92,1436796.124,1436796.124
22/03/2020,132.63,132.63,137.13,137.13,121.1,121.1,122.32,122.32,1055699.865,1055699.865
21/03/2020,133.49,133.49,137.49,137.49,125.69,125.69,132.66,132.66,1231842.111,1231842.111
20/03/2020,136.3,136.3,152.55,152.55,116.74,116.74,133.48,133.48,2504057.638,2504057.638
19/03/2020,118.11,118.11,143.13,143.13,115.46,115.46,136.3,136.3,1801071.188,1801071.188
18/03/2020,115.67,115.67,118.5,118.5,109.86,109.86,118.11,118.11,1201850.313,1201850.313
17/03/2020,111.02,111.02,120.8,120.8,109.38,109.38,115.67,115.67,1295108.485,1295108.485
16/03/2020,123.82,123.82,124.33,124.33,101.1,101.1,111.02,111.02,2442064.144,2442064.144
15/03/2020,122.54,122.54,133.5,133.5,120.16,120.16,123.78,123.78,1312950.901,1312950.901
14/03/2020,134.06,134.06,134.68,134.68,120,120,122.54,122.54,1237674.886,1237674.886
13/03/2020,107.67,107.67,139.68,139.68,86,86,134.06,134.06,4663239.929,4663239.929
12/03/2020,194.61,194.61,195.55,195.55,101.2,101.2,107.82,107.82,3814533.14,3814533.14
11/03/2020,200.74,200.74,203.18,203.18,181.73,181.73,194.61,194.61,1079824.902,1079824.902
10/03/2020,202.79,202.79,206.2,206.2,195.54,195.54,200.7,200.7,1020260.107,1020260.107
09/03/2020,199.43,199.43,208.62,208.62,190,190,202.81,202.81,1661331.836,1661331.836
08/03/2020,237.23,237.23,237.23,237.23,195.5,195.5,199.43,199.43,1278973.537,1278973.537
07/03/2020,244.93,244.93,251.93,251.93,236,236,237.23,237.23,633748.8966,633748.8966
06/03/2020,228.38,228.38,245.16,245.16,227.33,227.33,244.88,244.88,628147.3257,628147.3257
05/03/2020,224.26,224.26,234.09,234.09,224.23,224.23,228.38,228.38,601479.8759,601479.8759
04/03/2020,223.84,223.84,228.85,228.85,220.23,220.23,224.26,224.26,443780.3377,443780.3377
03/03/2020,232.1,232.1,232.46,232.46,219.57,219.57,223.91,223.91,741498.5483,741498.5483
02/03/2020,217.81,217.81,234.4,234.4,216.07,216.07,231.97,231.97,810051.4833,810051.4833
01/03/2020,217.29,217.29,227.89,227.89,212.36,212.36,217.81,217.81,715016.0194,715016.0194
29/02/2020,226.76,226.76,233,233,217,217,217.21,217.21,546866.6851,546866.6851
28/02/2020,227.73,227.73,234.67,234.67,214.01,214.01,226.76,226.76,1054994.924,1054994.924
27/02/2020,223.98,223.98,238.3,238.3,210,210,227.79,227.79,1273793.117,1273793.117
26/02/2020,246.67,246.67,250.32,250.32,215.66,215.66,223.93,223.93,1395879.415,1395879.415
25/02/2020,265.47,265.47,266.22,266.22,244.44,244.44,246.67,246.67,774791.0103,774791.0103
24/02/2020,274.5,274.5,277.2,277.2,257.09,257.09,265.52,265.52,696591.7298,696591.7298
