date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
14/01/2020,0.04812,0.04812,0.05532,0.05532,0.0481,0.0481,0.0528,0.0528,180352283.5,180352283.5
13/01/2020,0.04904,0.04904,0.04906,0.04906,0.0476,0.0476,0.04813,0.04813,29523962.9,29523962.9
12/01/2020,0.04825,0.04825,0.04932,0.04932,0.048,0.048,0.04905,0.04905,38323399.4,38323399.4
11/01/2020,0.04805,0.04805,0.04956,0.04956,0.04736,0.04736,0.04825,0.04825,59275273.3,59275273.3
10/01/2020,0.04715,0.04715,0.04818,0.04818,0.04553,0.04553,0.04802,0.04802,97552455.6,97552455.6
09/01/2020,0.04768,0.04768,0.04818,0.04818,0.0469,0.0469,0.04718,0.04718,39959442.9,39959442.9
08/01/2020,0.04839,0.04839,0.0494,0.0494,0.04672,0.04672,0.04768,0.04768,72238834.3,72238834.3
07/01/2020,0.0505,0.0505,0.05103,0.05103,0.04739,0.04739,0.04839,0.04839,98972377.9,98972377.9
06/01/2020,0.04544,0.04544,0.05049,0.05049,0.04534,0.04534,0.05046,0.05046,81613453,81613453
05/01/2020,0.04566,0.04566,0.04625,0.04625,0.04519,0.04519,0.04544,0.04544,28897563.5,28897563.5
04/01/2020,0.04564,0.04564,0.04585,0.04585,0.04513,0.04513,0.04565,0.04565,17395833.2,17395833.2
03/01/2020,0.04358,0.04358,0.04568,0.04568,0.04324,0.04324,0.04566,0.04566,22163529.8,22163529.8
02/01/2020,0.04527,0.04527,0.04544,0.04544,0.04348,0.04348,0.04361,0.04361,17557760,17557760
01/01/2020,0.04495,0.04495,0.04552,0.04552,0.04482,0.04482,0.04529,0.04529,8262760.7,8262760.7
31/12/2019,0.04553,0.04553,0.04574,0.04574,0.04467,0.04467,0.04495,0.04495,19209554.3,19209554.3
30/12/2019,0.04618,0.04618,0.04683,0.04683,0.0453,0.0453,0.04552,0.04552,23540628.3,23540628.3
29/12/2019,0.04583,0.04583,0.04672,0.04672,0.04573,0.04573,0.04619,0.04619,21648526.7,21648526.7
28/12/2019,0.04585,0.04585,0.0465,0.0465,0.04567,0.04567,0.04589,0.04589,28801347.7,28801347.7
27/12/2019,0.04469,0.04469,0.04609,0.04609,0.0441,0.0441,0.04584,0.04584,30672143.5,30672143.5
26/12/2019,0.04435,0.04435,0.04568,0.04568,0.04406,0.04406,0.04468,0.04468,27319904,27319904
25/12/2019,0.04502,0.04502,0.04505,0.04505,0.0435,0.0435,0.04436,0.04436,21168703.8,21168703.8
24/12/2019,0.04485,0.04485,0.04583,0.04583,0.04446,0.04446,0.04501,0.04501,22956352.1,22956352.1
23/12/2019,0.04724,0.04724,0.04749,0.04749,0.04454,0.04454,0.04488,0.04488,41144964.8,41144964.8
22/12/2019,0.04535,0.04535,0.04732,0.04732,0.04524,0.04524,0.04723,0.04723,37550036.2,37550036.2
21/12/2019,0.04622,0.04622,0.04645,0.04645,0.04533,0.04533,0.04539,0.04539,25750742,25750742
20/12/2019,0.04519,0.04519,0.04654,0.04654,0.04458,0.04458,0.04619,0.04619,67567547.8,67567547.8
19/12/2019,0.04655,0.04655,0.04697,0.04697,0.04452,0.04452,0.04519,0.04519,67620839.4,67620839.4
